Phase;Unit;Rim Type;Rim Angle;MxRT;MnBT;Diameter;Temper;Firing;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4
2/3;A;S1;2;8;8;14;32;1;0;T/O;CH;N;GRASS;U;;;;
2/3;A;S2;2;9;8;24;31;9;L;T/O;GRASS;N U;CCRY;U;;;;
2/3;A;S2;2;10;6;16;44;2;L;T/O;GRASS;N U;;;;;;
2/3;A;S1;4;10;7;;31;1;INT L;T/O;GRASS;N U;;;;;;
2/3;A;E52;1;9;10;;31;13;L;T/O;P B-W;L N;P W-W;C;;;;
2/3;A;E59;2;8;;;31;8;0;T/O;P B-W;L;P W-W;C;;;;
2/3;A;E53;2;9;;;31;4;L;T/O;P W-W;C;P B-W;L U;;;;
2/3;A;E56;2;8;;;31;2;L;T/O;P W-W;C;;;;;;
2/3;A;E56;2;7;;;31;1;L;T/O;P W-W;C;;;;;;
2/3;A;S1;2;8;10;12;32;8;0;0;TW1;N U;;;;;;
2/3;A;E52;1;11;10;16;31;1;L;T/O;P B-W;L;P W-W;C;;;;
2/3;A;S1;2;7;6;10;31;1;0;0;SI1;N;TW1;N;EROD;U;;
3 low;A;E52;1;9;10;14;31;13;L;EXT;GRASS;N U;;;;;;
3 low;A;E52;1;9;11;14;44;3;L;INT;GRASS;U;;;;;;
3 low;A;S2;2;11;10;14;44;3;0;INT EXT;GRASS;N;CSR1;U;P B-G;N;P W-G;U
3 low;A;S2;2;8;7;8;32;12;0;INT EXT;GRASS;N;TW1;U;;;;
3 low;A;E3;2;11;6;9;31;1;L;INT EXT;P W-G;C;GRASS;U;P R-W;U;;
3 low;A;S10;3;7;7;8;32;1;0;EXT;TW12;N;ICS1;;;;;
2;A;E3;2;7;10;14;44;8;L;INT EXT;CCRY;U;;;;;;
2;A;E3;;;;;31;1;INT;INT;;;;;;;;
2;A;S1;1;10;10;12;32;1;T/O;T/O;GRASS;N;;;;;;
2;A;S1;2;9;9;16;32;1;T/O;T/O;GRASS;N;;;;;;
2;A;S2;3;10;6;14;44;8;0;INT EXT;GRASS;N;CCRY;U;;;;
2;A;S5;2;10;7;10;31;9;0;INT EXT;GRASS;N;P R-W;N;;;;
2;A;S1;2;13;8;18;44;12;0;INT EXT;GRASS;N;TW12;U;;;;
2;A;E68;2;10;6;8;44;12;L;INTEXT;P W-G;C;GRASS;U;P W-G;L;;
2;A;S16;2;8;6;10;32;1;0;INT EXT;TW6;N U;;;;;;
2;A;S2;2;9;8;12;32;1;0;0;TW6;U;;;;;;
2;A;S2;4;9;7;12;31;9;L;T/O;CH;N;GRASS;N U;CCRY;U;;
2;A;S2;2;10;8;16;31;9;0;T/O;CH;N;GRASS;U;;;;
2;A;S2;2;8;6;12;31;8;L EXT;L EXT;CH;N;;;;;;
2;A;S2;4;9;10;18;31;13;0;INT EXT;EROD;N U;;;;;;
2;A;S1;2;6;7;10;31;1;0;0;GRASS;N;CSR7;U;EROD;U;;
2;A;S1;2;7;5;8;31;8;INT L;T/O;GRASS;N;CSR7;U;;;;
2;A;E56;2;8;11;14;31;13;0;L;GRASS;N U;;;;;;
2;A;S1;2;7;;;31;1;0;0;GRASS;N;;;;;;
2;A;S10;2;7;6;;31;8;INT;INT EXT;GRASS;N;;;;;;
2;A;E63;;9;;;31;12;L;L;GRASS;N;;;;;;
2;A;S2;3;6;6;12;44;3;EXT;INT EXT;P R-W;N;P W-G;N;;;;
2;A;L2;6;6;8;22;44;13;EXT;INT EXT;P R-W;N U;P W-G;N U;;;;
2;A;L2;6;6;8;22;44;13;EXT;INT EXT;P R-W;N;P W-G;N;;;;
2;A;L2;6;6;8;22;44;13;EXT;INT EXT;P R-W;N U;P W-G;N U;;;;
2;A;F6;;;;4;44;13;0;INT;P R-W;KNOB EXT;;;;;;
2;A;E68;2;12;6;8;32;12;L;INT;P W-G;C;GRASS;N;;;;
2;A;E56;2;10;8;;44;8;L;INT EXT;P W-G;C;;;;;;
2;A;M1;4;9;10;16;31;12;INT L;INT EXT;P W-W;N U;P B-G;N U;GRASS;N U;CCRY;U
2;A;E52;1;7;7;16;32;12;L;INT EXT;PLAIN;C;RSO;;;;;
2;A;E52;;8;7;14;32;12;L;INT EXT;PLAIN;C;RSO;;;;;
2;A;E53;;10;;18;31;12;L;INT EXT;PLAIN;C;RSO;;;;;
2;A;E51;1;9;6;14;44;8;0;INT EXT;PLAIN;;;;;;;
2;A;E69;1;8;5;14;32;8;L;L;PLAIN;;;;;;;
2;A;E54;2;8;6;14;32;1;0;L;PLAIN;;;;;;;
2;A;E68;2;11;;;44;12;L;L;PLAIN;;;;;;;
2;A;E51;;;;;31;1;L;INT EXT;PLAIN;L;;;;;;
2;A;S1;4;7;10;;32;3;0;T/O;TW4;N;EROD;U;;;;
2;A;S1;2;5;9;14;31;10;0;INT EXT;TW4;N U;;;;;;
1/2;A;AP4;;10;;;31;8;0;INT EXT;AP4;;;;;;;
1/2;A;S1;2;9;10;14;32;8;0;INT;CCRX;N;;;;;;
1/2;A;E52;1;10;9;10;44;13;L;0;GRASS;U;P R-W;U;;;;
1/2;A;E52;2;7;11;14;32;8;L;0;P W-G;C;GRASS;N U;P R-W;N U;;
1/2;A;E56;2;10;9;16;31;3;L;INT EXT;P W-G;C;GRASS;N U;P R-W;N U;;
1/2;A;E54;1;10;9;16;44;3;L;INT EXT;P W-G;C;GRASS;N U;;;;
1/2;A;E57;2;14;10;20;32;8;0;INT EXT;PLAIN;C;TW6;N;;;;
1/2;A;E51;1;10;10;8;32;1;L;0;PLAIN;C;;;;;;
1/2;A;E52;2;8;7;18;44;3;L;EXT;PLAIN;C;;;;;;
1/2;A;S2;3;10;10;8;44;8;0;0;PLAIN;N;;;;;;
1/2;A;E57;;11;;;32;13;L;0;PLAIN;N;;;;;;
1/2;A;E57;;11;9;;44;13;0;L EXT;PLAIN;C;;;;;;
1/2;A;E68;;11;;10;31;13;L;0;PLAIN;C;;;;;;
1;A;S1;2;15;17;36;44;8;0;INT;CH;N;CCRY;N U;;;;
1;A;S1;2;5;7;16;31;1;0;EXT;GRASS;N;ICS1;U;;;;
1;A;E80;2;10;6;10;32;8;L;0;GRASS;U;;;;;;
1;A;S1;2;11;16;50;44;12;0;0;ICS1;N U;TW6;R;;;;
1;A;E71;2;10;9;14;31;12;0;EXT;ICS1;N U;;;;;;
1;A;S1;1;10;11;12;31;8;L;INT EXT;P W-W;;P B-G;;;;;
1;A;E3;;8;;14;31;1;L;0;PLAIN;C;;;;;;
1;A;S16;2;8;6;10;31;1;0;0;TW4;N;TW6;U;;;;
1;A;E58;2;13;14;22;32;13;0;0;TW4;N;;;;;;
1;A;S1;2;10;10;14;32;13;L;EXT;TW6;N;ICS1;U;;;;
1;A;E53;2;11;10;18;32;9;L;L;CCRY;U;;;;;;
1;A;E59;2;10;8;12;32;10;L;L;GRASS;U;;;;;;
1;A;S1;2;8;6;14;32;13;L EXT;L EXT;GRASS;U;;;;;;
1;A;E56;2;10;12;18;32;1;L;L;P W-W;C;GRASS;U;CCRY;U M;;
1;A;E53;2;9;15;20;32;9;L;L EXT;P W-W;C;GRASS;U;;;;
1;A;E56;2;8;11;18;32;1;L;L EXT;P W-W;C;GRASS;U;;;;
1;A;E3;1;10;11;10;32;10;0;L;PLAIN;;;;;;;
1;A;D3;3;13;11;10;32;13;0;0;PLAIN;;;;;;;
1;A;S1;3;8;6;8;MICA;9;T/O;T/O;RSO;;;;;;;
1;A;S1;1;8;10;10;32;10;0;0;TW1;N U;;;;;;
1;A;S1;3;8;8;;32;9;INT;0;TW4;N U;;;;;;
1;A;S1;1;12;9;14;21;1;0;0;TW6;N U;ICS2;U;;;;
1;A;E71;2;13;8;12;32;13;0;0;TW6;U;;;;;;
1;A;S1;2;9;9;24;32;8;0;0;TW6;N;;;;;;
1;A;S4;3;18;16;38;32;1;0;0;TW6;N U;;;;;;
1;A;E3;2;9;10;8;32;1;L;L;;;;;;;;
1;A;E53;2;9;7;28;32;9;L;L;;;;;;;;
1;A;S1;2;8;6;14;32;13;T/O;T/O;CH;N;GRASS;U;;;;
1;A;S1;2;8;7;14;32;13;T/O;L EXT;CH;N;GRASS;U;;;;
1;A;S2;3;9;6;12;32;1;L;L EXT;GRASS;N U;;;;;;
1;A;S1;2;11;10;38;32;1;0;0;ICS1;U;;;;;;
1;A;E52;1;11;11;16;32;1;L;L;P W-W;C;GRASS;U;CCRY;U M;;
1;A;D3;3;11;10;10;32;13;0;0;PLAIN;;;;;;;
1;A;S1;2;9;9;18;32;1;INT EXT;INT EXT;RSO;;;;;;;
1;A;S1;2;12;13;32;32;1;INT;0;TW4;N U;CSR6;U M;;;;
1;A;S1;2;9;8;16;21;1;0;0;TW4;N U;ICS1;U;;;;
1;A;S2;2;9;9;10;21;1;INT;0;TW4;N;ICS1;U M B;;;;
1;A;S1;3;7;6;14;21;12;L;0;TW4;N;ICS1;U M;;;;
1;A;S2;3;9;7;10;32;1;L;L;TW4;U M;;;;;;
1;A;E57;2;11;7;18;32;1;0;0;TW6;U;CSR6;M;;;;
1;A;S1;1;11;10;20;21;13;0;0;TW6;N U;ICS1;U;;;;
1;A;S1;2;12;12;14;32;1;0;0;TW6;N U;ICS1;U;;;;
1;A;E57;2;16;14;16;32;1;C;L;TW6;U;;;;;;
1;A;E81;2;16;8;16;32;1;C;L EXT;TW6;U;;;;;;
1;A;E52;1;14;;16;32;1;L C;L C;;;;;;;;
1;A;S1;2;13;7;14;21;8;0;0;TW6;N U;ICS1;M;;;;
1/2;A;S2;3;11;10;14;32;9;INT;0;CCRY;L N U M;;;;;;
1/2;A;S1;2;9;8;10;32;1;0;0;ICS1;U;;;;;;
1/2;A;S1;2;6;7;12;32;8;0;0;CCRX;N;ICS1;U;;;;
1/2;A;S2;2;12;8;22;32;12;L;INT EXT;CH;N;P W-W;U;CCRY;U;;
1/2;A;S1;3;9;6;12;32;9;INT;0;DC2;N;CSR7;;;;;
1/2;A;S2;3;11;5;12;32;12;L INT;0;GRASS;N U M;;;;;;
1/2;A;S1;2;10;11;16;32;8;0;0;TW6;N;ICS1;U;;;;
1/2;A;S1;1;11;10;12;32;13;0;0;TW6;N U;;;;;;
1/2;A;E5;2;9;10;;21;9;L;0;TW7;U;;;;;;
1/2;A;E57;2;16;;26;32;1;0;0;;;;;;;;
1;A;E53;1;13;10;22;32;1;L;L EXT;GRASS;U;;;;;;
1;A;E53;2;14;9;20;31;9;L;L;P W-W;C;CCRY;U;;;;
1;A;E52;1;9;8;14;32;1;L;L EXT;P W-W;C;GRASS;U;;;;
1;A;B5;;11;7;;32;1;EXT;EXT;PLAIN;;;;;;;
1;A;E68;1;11;8;18;32;1;T/O;T/O;RSO;;;;;;;
1;A;L2;6;6;8;28;32;13;INT EXT;EXT;RSO;;;;;;;
1;A;S2;2;9;8;12;21;8;0;0;TW1;N;;;;;;
1;A;S2;2;7;8;8;21;1;0;0;TW4;N;ICS1;U;;;;
1;A;S1;2;8;9;12;32;13;INT;0;TW4;N U;;;;;;
1;A;S2;3;8;8;14;32;9;INT;0;TW4;N U;;;;;;
1;A;S1;4;13;12;40;32;10;0;0;TW4;U;;;;;;
1;A;S1;2;10;8;14;21;8;0;0;TW6;U;;;;;;
1;A;E92;2;9;13;10;32;1;0;0;;;;;;;;
1;A;E57;2;13;10;18;32;1;0;0;TW6;N U;TW12;U M B;;;;
5 up;B;S1;2;10;12;;31;1;;;DC2;C;;;;;;
5 up;B;S14;2;12;8;;32;1;;;DC2;L;;;;;;
5 up;B;E53;2;14;;18;32;23;;INT;GRASS;;;;;;;
5 up;B;S1;2;9;9;;32;4;;;GRASS;N U;;;;;;
5 up;B;E52;1;11;7;8;32;8;;L;P B;C;;;;;;
5 up;B;E53;1;17;8;12;32;9;;L;P B;C;;;;;;
5 up;B;E52;1;11;;18;32;1;;L;P B;C;;;;;;
5 up;B;E61;4;8;10;;31;1;;;SI1;L;;;;;;
5 up;B;E54;1;12;11;8;32;10;;;;;;;;;;
5 up;B;E53;1;9;;12;32;1;;L;;;;;;;;
5 up;B;E53;1;10;8;12;32;9;;;;;;;;;;
5 up;B;E53;;14;;16;32;1;;L;;;;;;;;
5 up;B;E53;1;12;;18;32;9;;;;;;;;;;
5 up;B;S10;2;12;11;18;32;10;;EXT;;;;;;;;
5 up;B;E59;;9;9;32;32;8;;INT;;;;;;;;
5 up;B;E52;1;11;;;32;9;;;;;;;;;;
5 up;B;E56;1;14;14;;32;3;;EXT INT;;;;;;;;
5 up;B;E10;1;10;10;8;32;2;;EXT INT;GRASS;N UB;TW1;UB;;;;
5 up;B;E56;3;12;7;14;32;2;;EXT INT;GRASS;N C;;;;;;
5 up;B;S3;4;13;9;14;44;4;;EXT;GRASS;N;TW1;UB;;;;
5 up;B;E3;1;14;7;16;32;4;;L;GRASS;C N;;;;;;
5 up;B;E52;2;11;9;16;31;1;;L;GRASS;L C N;P W;N;;;;
5 up;B;E52;2;17;;16;32;2;L;L EXT;GRASS;C N;P W;C N;;;;
5 up;B;S1;2;7;10;16;31;1;;;GRASS;N UB;P W;L C N UB;;;;
5 up;B;S3;4;13;8;16;44;4;;EXT;GRASS;N UB;TW1;UB;;;;
5 up;B;E53;2;15;4;14;32;1;;L C;P W+B;C N UB;GRASS;C N UB;CSR7;UB;CCRY;MB
5 up;B;E10;2;14;11;8;32;10;0;0;PLAIN;;;;;;;
5 up;B;S2;4;13;11;12;32;1;;;TW4;N;;;;;;
5 up;B;S1;2;7;6;6;32;13;EXT;EXT INT;;;;;;;;
5 up;B;S1;2;10;10;20;32;1;0;0;GRASS;C;TW6;UB;;;;
5 up;B;S1;2;10;13;24;32;12;0;0;TW6;N U;;;;;;
5 up;B;E59;1;13;8;16;32;1;0;L EXT;P B;L C N;GRASS;N UB;P W;N UB;TW1;UB
5 up;B;S1;2;12;;;32;1;0;L;DC1;N;GRASS;;;;;
5 up;B;S1;2;4;5;;32;3;EXT;L N U;GRASS;N U;;;;;;
5 up;B;S1;2;5;5;;32;1;EXT;L NU;GRASS;N U;;;;;;
5 up;B;S1;2;9;10;;32;4;0;LNU;GRASS;NU;;;;;;
5 up;B;E55;1;15;6;16;31;2;0;L C N U;P B;L C N;GRASS;C N;;;;
5 up;B;S2;2;22;18;26;32;4;0;0;P W+B;L N U;TW1;N U;;;;
5 up;B;E63;1;15;9;16;32;13;0;L;PLAIN;;;;;;;
5 up;B;S1;4;12;;26;31;1;N;L N;PLAIN;L;TW1;N;;;;
5 up;B;E52;2;8;10;14;32;10;0;L C N U;P R;L C N;P W;C;;;;
5 up;B;E63;1;15;8;;31;13;0;L;PLAIN;;;;;;;
5 up;B;E7;1;9;;10;32;1;0;0;GRASS;C;;;;;;
5 up;B;E53;1;11;12;10;32;1;T/O;T/O;GRASS;C U;;;;;;
5 up;B;E53;2;9;12;16;31;9;EXT;L N U;GRASS;C;DC2;UB;P W-G;UB;P B-G;UB
5 up;B;E55;1;11;11;24;32;9;T/O;T/O;GRASS;C U;;;;;;
5 up;B;S9;2;8;5;12;32;1;EXT INT;EXT INT;DC2;N U;P B-G;N U;P W-G;U;;
5 up;B;D1;4;8;10;10;31;1;0;0;PLAIN;;;;;;;
5 up;B;S2;3;20;20;38;31;12;0;0;TW4;N U;;;;;;
5 up;B;E62;2;15;7;14;32;4;L;L;;;;;;;;
5 up;B;S2;2;10;13;;31;9;0;0;CH;N;;;;;;
5 up;B;E53;2;15;9;18;32;12;EROD;EROD;GRASS;C;;;;;;
5 up;B;E53;1;13;15;20;32;12;L;L;GRASS;C;;;;;;
5 up;B;S13;2;8;10;14;32;1;T/O;T/O;MCH;N;TW4;U;;;;
5 up;B;S1;4;7;9;14;32;1;0;0;SI1;N;P B-G;N;AP3;L;;
5 up;B;S16;2;23;16;42;31;1;0;0;TW6;N U;;;;;;
5 up;B;D1;3;10;12;8;31;1;0;0;;;;;;;;
5 up;B;E53;2;15;;;32;1;T/O;T/O;;;;;;;;
5 up;B;S2;3;20;20;40;31;8;0;0;TW4;U;;;;;;
5 up;B;S1;1;15;15;12;32;3;0;0;TW6;N;;;;;;
5 up;B;E55;1;14;10;24;32;1;INT;INT;;;;;;;;
5 up;B;B1;;15;;9;31;1;0;0;;;;;;;;
5 up;B;S2;2;15;25;38;31;9;0;0;TW4;N U;;;;;;
5 up;B;S2;2;13;10;28;31;1;0;0;CH;N;ICS7;L N U;;;;
5 up;B;S2;4;6;4;10;32;10;EXT;LNU;GRASS;T/O;;;;;;
5 up;B;S1;2;12;14;32;31;9;0;0;GRASS;U N;;;;;;
5 up;B;S1;4;9;9;32;31;12;0;0;GRASS;T/O;;;;;;
5 up;B;S2;4;7;8;10;31;1;0;0;SI3;U B;GRASS;N;CH;L;;
5 up;B;S2;2;22;20;38;32;13;0;0;TW4;N B;;;;;;
5 up;B;S2;3;20;17;48;32;13;0;0;TW4;N U;;;;;;
4/5;B;E57;1;10;9;28;32;10;0;0;GRASS;L C;TW6;N;ICS1;U;;
4/5;B;S1;2;8;8;14;32;10;0;L EXT;P B-W;;CH;L;TW6;N U;;
4/5;B;S2;2;20;16;36;32;12;0;0;TW12;N U;;;;;;
4/5;B;E54;2;14;7;14;32;2;INT;L U;TW6;L;GRASS;C;DC2;N U;;
5 low;B;E53;;14;10;22;44;3;0;EXT INT;P R-W;L;GRASS;C N;;;;
5 low;B;S1;3;8;14;18;32;1;0;EXT INT;PLAIN;;;;;;;
5 low;B;E54;1;14;9;18;32;1;0;EXT INT;TI1;L;GRASS;N U;P W-G;L U;CSR1;UB
5 low;B;D1;;8;13;6;32;5;0;0;;;;;;;;
5 low;B;D1;;10;11;10;31;1;0;0;;;;;;;;
5 low;B;E59;1;11;;20;31;1;L;L;;;;;;;;
5 low;B;S1;3;7;9;6;31;10;0;EXT;GRASS;N U;;;;;;
4;B;E58;2;9;10;8;32;10;0;0;GRASS;L N;PLAIN;U;;;;
4;B;S1;4;6;6;18;31;1;0;0;GRASS;L N;;;;;;
4;B;E62;2;10;7;18;31;1;L;L;TI1;L;;;;;;
4/5;B;S10;1;8;8;12;31;1;0;INT;DC2;L N;;;;;;
4/5;B;E58;3;10;11;34;31;1;0;0;GRASS;L N;;;;;;
4;B;S1;3;8;12;8;31;1;0;0;GRASS;L N;;;;;;
4/5;B;E57;3;5;9;10;31;9;0;0;GRASS;L N;;;;;;
4/5;B;S1;4;12;10;;21;2;0;0;GRASS;NU;;;;;;
4;B;E58;2;8;10;;31;9;0;0;PLAIN;;;;;;;
4;B;E51;2;8;5;14;31;1;0;0;GRASS;N U;;;;;;
4;B;E1;2;9;8;32;31;4;0;0;PLAIN;;;;;;;
4;B;E53;;11;;32;32;1;0;L;PLAIN;;;;;;;
4;B;S2;2;13;10;20;31;1;0;0;ICS4;L R;TW6;U;;;;
4;B;E52;;11;;;32;8;0;0;;;;;;;;
4;B;E1;;7;11;;44;8;0;0;GRASS;N;;;;;;
4;B;E3;;;;;32;9;0;EXT INT;P R;L;;;;;;
4;B;S2;2;15;12;22;31;10;0;EXT INT;P R-G;L R;P B-W;U;GRASS;U;;
4;B;S4;3;7;6;12;31;1;0;EXT INT;GRASS;N;P R-W;;;;;
4;B;E58;;8;;28;32;1;0;0;GRASS;L N;;;;;;
4;B;S1;3;11;11;24;31;10;0;EXT INT;MCH;N;P R-W;N U;;;;
4;B;E3;;11;;14;31;1;0;L R;PLAIN;N;;;;;;
4;B;E;;10;;;31;8;0;EXT;PLAIN;N;;;;;;
4;B;S1;3;10;;;31;1;0;0;TW1;N;;;;;;
4;B;E1;;10;;;31;1;0;0;;;;;;;;
4;B;S1;3;16;16;36;31;1;0;0;CH;N;;;;;;
4;B;E57;;11;;;31;9;0;0;EROD;N;;;;;;
4;B;E58;;11;;;31;9;0;0;GRASS;N;;;;;;
4;B;E1;;13;;16;31;1;0;0;;;;;;;;
4;B;E3;;10;;18;31;1;0;0;;;;;;;;
4;B;B1;;;;;31;1;0;0;;;;;;;;
4;B;E3;;13;;;31;8;0;0;;;;;;;;
4;B;E3;;;;;31;1;0;0;;;;;;;;
4;B;E53;2;11;8;16;31;1;0;EXT INT;DC2;C N U;CSR7;M;;;;
4;B;E51;1;16;9;18;31;1;0;L EXT;DC2;U;;;;;;
4;B;E57;;10;;;31;1;0;0;GRASS;C;;;;;;
4;B;E52;1;9;8;18;31;9;INT;EXT INT;P B-G;L;;;;;;
4;B;B2;;;;;31;1;0;0;;;;;;;;
4;B;BASE;;;;;31;1;0;INT;;;;;;;;
4;B;E57;;6;;;31;1;0;0;GRASS;C;;;;;;
4;B;E51;;10;;8;31;1;L;L;P W-W;C;;;;;;
3 up;B;S1;1;8;7;14;31;8;0;0;GRASS;N;TW12;U;;;;
3 up;B;E52;2;11;6;10;44;4;0;L;MCH;N;CCRY;U M;;;;
4;B;S1;2;8;8;16;31;9;0;0;CH;N;CCRY;U;P R-W;N U;;
4;B;S1;2;7;6;12;31;1;L EXT;EXT INT;DC2;N U;;;;;;
4;B;E3;1;11;8;8;31;8;L;EXT INT;;;;;;;;
3/4;B;E53;2;11;13;16;44;3;L;L;CH;U;;;;;;
3/4;B;S1;2;8;9;12;32;1;L EXT;EXT INT;GRASS;N U;;;;;;
3/4;B;S1;2;7;6;;31;1;L;0;GRASS;N U M;;;;;;
3/4;B;E3;2;10;7;12;31;1;L;0;P R-G;L;P W-G;C;P R-W;U;P W-W;M
3/4;B;E51;2;13;6;12;44;3;L;INT;P W-G;C;DC2;N;TW4;U;;
3/4;B;S1;2;8;7;8;44;3;0;EXT INT;PLAIN;N U M;;;;;;
3/4;B;E52;1;9;5;14;31;1;0;L;PLAIN;C U;;;;;;
3/4;B;E52;2;10;;16;31;8;0;0;PLAIN;C;;;;;;
3/4;B;B1;;;;;31;1;0;0;PLAIN;B;;;;;;
3/4;B;S1;2;8;7;;44;3;0;EXT INT;PLAIN;N U M;;;;;;
3/4;B;S2;3;11;;;31;12;0;EXT;PLAIN;N;;;;;;
3/4;B;B3;;;;;31;12;0;INT;TW6;B;;;;;;
3/4;B;E59;2;8;6;14;31;1;L;EX;GRASS;N U;;;;;;
3/4;B;B1;;;;;31;1;0;EXT INT;PLAIN;B;IMP1;B;;;;
3/4;B;S1;2;7;7;12;32;1;INT;0;ICS7;N;ICS1;U;;;;
3/4;B;S2;3;5;7;12;21;10;INT;0;ICS7;N;ICS1;U;;;;
3/4;B;S1;2;8;7;16;21;1;0;0;ICS7;N;TI8;U;;;;
3/4;B;E70;1;9;7;12;31;8;L EXT;L;P W-W;C;;;;;;
3/4;B;E57;2;6;12;8;32;9;0;0;SI3;C;;;;;;
3 up;B;B4;;;7;;32;12;0;0;CCRY;B;;;;;;
3 up;B;S1;2;14;9;20;13;1;0;0;CSR7;N U;;;;;;
3 up;B;E52;2;8;11;20;32;12;L;L;GRASS;C N U;;;;;;
3 up;B;E52;1;9;8;12;31;4;0;EXT;P B-W;L N;GRASS;U;;;;
3 up;B;S1;2;15;8;26;31;3;L;L;P B-W;N;GRASS;N;P W-G;U;TW6;U M
3 up;B;E68;1;11;7;18;31;1;L;L;P W-W;C;;;;;;
3 up;B;E58;2;14;14;10;32;12;0;0;PLAIN;;;;;;;
3 up;B;S2;3;23;23;40;32;1/8;0;0;TW4;N U;;;;;;
3/4;B;E68;2;12;9;14;32;1;L;L;GRASS;U;CCRY;M;;;;
3/4;B;E68;1;10;9;16;32;1;0;EXT;GRASS;N U;CCRY;M;;;;
3/4;B;E68;2;9;6;12;32;10;L;L;P W-W;C;GRASS;C U;;;;
3/4;B;E68;1;12;8;16;31;12;L;L;P W-W;C;P B-W;U;GRASS;U;;
3/4;B;S1;1;8;8;10;32;12;0;0;PD/O;U;;;;;;
3 up;B;S1;4;20;19;38;31;9;0;0;CCRY;N;;;;;;
3 up;B;L1;6;23;20;50;32;8;INT;0;CCRY;U;;;;;;
3 up;B;S2;3;18;21;32;31;12;0;0;CSR1;N;;;;;;
3 up;B;S2;3;9;9;8;31;12;0;0;GRASS;L N;;;;;;
3 up;B;S2;3;8;7;12;31;1;INT;0;GRASS;N;;;;;;
3 up;B;S2;2;10;10;18;31;13;0;0;GRASS;N;;;;;;
3 up;B;L2;6;6;7;16;31;1;L INT;EXT;P W-G;N U;;;;;;
3 up;B;E67;3;14;9;8;32;1;0;0;PLAIN;L C N;;;;;;
3 up;B;B5;;8;7;;32;9;0;0;PLAIN;;;;;;;
3 up;B;E92;;8;10;;44;10;0;0;PLAIN;;;;;;;
3 up;B;S2;3;17;7;24;31;9;0;0;TW6;L N U;;;;;;
3 up;B;S2;3;7;6;24;31;13;N U;0;DC2;L U;;;;;;
3 up;B;S1;4;16;17;40;31;12;0;0;EROD;N U;;;;;;
3 up;B;S1;4;7;6;2;31;13;L INT;0;GRASS;N U M B;P R;L;;;;
3 up;B;E53;1;8;7;8;32;13;0;0;GRASS;C N;;;;;;
3 up;B;S2;2;9;8;10;31;12;T/O;0;GRASS;L N U;P W;L N U;P B;N U;;
3 up;B;S2;4;10;9;10;31;10;0;INT;GRASS;L N U;P R-W;L N U;CSR8;B;;
3 up;B;S1;3;7;7;12;31;13;L INT;0;GRASS;N U;;;;;;
3 up;B;E52;2;7;;10;31;1;L INT;0;P W-W;;;;;;;
3 up;B;B6;;;8;7;31;9;0;INT;PLAIN;;;;;;;
3 up;B;E59;1;10;9;16;32;13;L;0;PLAIN;C;GRASS;U;;;;
3 up;B;E71;1;10;8;8;32;1;0;L U;TW4;U;P W-W;;;;;
3 up;B;S2;3;6;6;10;31;1;0;0;TW4;N U M B;;;;;;
3 up;B;S1;2;17;21;28;31;12;0;0;TW4;N U M B;GRASS;L;;;;
3 up;B;E90;6;21;17;50;31;12;L INT;0;TW4;L;;;;;;
3 up;B;S2;2;6;6;;32;8;0;E;TW4;N;EROD;U;;;;
3 low;B;S1;1;16;17;32;32;12;0;0;P W-G;L;TW4;N;;;;
3 low;B;B6;;7;;7;32;8;0;EXT;PLAIN;;;;;;;
3 up;B;S1;1;6;5;10;31;8;0;0;CSR8;N U;;;;;;
3 up;B;E68;2;9;5;12;31;8;L EXT;L EXT;DC2;N U;P W-G;N U;P R-G;N U;;
3 up;B;S1;2;8;9;14;32;13;0;EXT INT;ICS1;N U;CH;N;GRASS;L;;
3 up;B;E56;2;8;8;28;32;1;L INT;L INT;P W-G;L C N;P B-G;N;;;;
3 up;B;E68;2;10;5;14;31;1;0;L;P W-W;C;;;;;;
